categoria,regiao,local,endereco,data,hora,atracao,djs_intervalo
Palcos e Pistas,Centro,Palco Anhangabaú,"Pq Anhangabaú, 350 - Centro Histórico de São Paulo",23/05/2026,17:00,João Carlos Martins,
Palcos e Pistas,Centro,Palco Anhangabaú,"Pq Anhangabaú, 350 - Centro Histórico de São Paulo",23/05/2026,18:00,Mocidade Alegre,
Palcos e Pistas,Centro,Palco Anhangabaú,"Pq Anhangabaú, 350 - Centro Histórico de São Paulo",23/05/2026,19:30,Péricles,
Palcos e Pistas,Centro,Palco Anhangabaú,"Pq Anhangabaú, 350 - Centro Histórico de São Paulo",23/05/2026,22:00,Luisa Sonza,
Palcos e Pistas,Centro,Palco Anhangabaú,"Pq Anhangabaú, 350 - Centro Histórico de São Paulo",24/05/2026,00:30,Manu Chao,
Palcos e Pistas,Centro,Palco Anhangabaú,"Pq Anhangabaú, 350 - Centro Histórico de São Paulo",24/05/2026,03:00,Orchestre Polyritmo de Cotonou,
Palcos e Pistas,Centro,Palco Anhangabaú,"Pq Anhangabaú, 350 - Centro Histórico de São Paulo",24/05/2026,05:30,Western Standard Time,
Palcos e Pistas,Centro,Palco Anhangabaú,"Pq Anhangabaú, 350 - Centro Histórico de São Paulo",24/05/2026,09:00,Funmilayo Afrobeat Orquestra,
Palcos e Pistas,Centro,Palco Anhangabaú,"Pq Anhangabaú, 350 - Centro Histórico de São Paulo",24/05/2026,14:00,Marina Sena,
Palcos e Pistas,Centro,Palco Anhangabaú,"Pq Anhangabaú, 350 - Centro Histórico de São Paulo",24/05/2026,16:30,Seu Jorge,
Palcos e Pistas,Centro,Palco Anhangabaú,"Pq Anhangabaú, 350 - Centro Histórico de São Paulo",24/05/2026,18:30,Alexandre Pires,
Palcos e Pistas,Centro,Palco Arouche,Largo do Arouche s/n - Centro,23/05/2026,19:00,Jadsa,
Palcos e Pistas,Centro,Palco Arouche,Largo do Arouche s/n - Centro,23/05/2026,21:00,Catto,
Palcos e Pistas,Centro,Palco Arouche,Largo do Arouche s/n - Centro,23/05/2026,23:00,Brisa Flow e DJ Lys Ventura,
Palcos e Pistas,Centro,Palco Arouche,Largo do Arouche s/n - Centro,24/05/2026,01:00,Ebony,
Palcos e Pistas,Centro,Palco Arouche,Largo do Arouche s/n - Centro,24/05/2026,03:00,Mc Luanna,
