slug,categoria,regiao_codigo,regiao,local,endereco,data,hora_inicio,hora_fim,atracao,djs_intervalo,inicio_iso,fim_iso
palco-anhangabau-2026-05-23-17-00-joao-carlos-martins,Palcos e Pistas,Centro,Centro,Palco Anhangabaú,"Pq Anhangabaú, 350 - Centro Histórico de São Paulo",2026-05-23,17:00,18:00,João Carlos Martins,,2026-05-23T17:00:00,2026-05-23T18:00:00
palco-anhangabau-2026-05-23-18-00-mocidade-alegre,Palcos e Pistas,Centro,Centro,Palco Anhangabaú,"Pq Anhangabaú, 350 - Centro Histórico de São Paulo",2026-05-23,18:00,19:30,Mocidade Alegre,,2026-05-23T18:00:00,2026-05-23T19:30:00
palco-anhangabau-2026-05-23-19-30-pericles,Palcos e Pistas,Centro,Centro,Palco Anhangabaú,"Pq Anhangabaú, 350 - Centro Histórico de São Paulo",2026-05-23,19:30,22:00,Péricles,,2026-05-23T19:30:00,2026-05-23T22:00:00
palco-anhangabau-2026-05-23-22-00-luisa-sonza,Palcos e Pistas,Centro,Centro,Palco Anhangabaú,"Pq Anhangabaú, 350 - Centro Histórico de São Paulo",2026-05-23,22:00,00:30,Luisa Sonza,,2026-05-23T22:00:00,2026-05-24T00:30:00
palco-anhangabau-2026-05-24-00-30-manu-chao,Palcos e Pistas,Centro,Centro,Palco Anhangabaú,"Pq Anhangabaú, 350 - Centro Histórico de São Paulo",2026-05-24,00:30,03:00,Manu Chao,,2026-05-24T00:30:00,2026-05-24T03:00:00
palco-anhangabau-2026-05-24-03-00-orchestre-polyritmo-de-cotonou,Palcos e Pistas,Centro,Centro,Palco Anhangabaú,"Pq Anhangabaú, 350 - Centro Histórico de São Paulo",2026-05-24,03:00,05:30,Orchestre Polyritmo de Cotonou,,2026-05-24T03:00:00,2026-05-24T05:30:00
palco-anhangabau-2026-05-24-05-30-western-standard-time,Palcos e Pistas,Centro,Centro,Palco Anhangabaú,"Pq Anhangabaú, 350 - Centro Histórico de São Paulo",2026-05-24,05:30,09:00,Western Standard Time,,2026-05-24T05:30:00,2026-05-24T09:00:00
palco-anhangabau-2026-05-24-09-00-funmilayo-afrobeat-orquestra,Palcos e Pistas,Centro,Centro,Palco Anhangabaú,"Pq Anhangabaú, 350 - Centro Histórico de São Paulo",2026-05-24,09:00,14:00,Funmilayo Afrobeat Orquestra,,2026-05-24T09:00:00,2026-05-24T14:00:00
palco-anhangabau-2026-05-24-14-00-marina-sena,Palcos e Pistas,Centro,Centro,Palco Anhangabaú,"Pq Anhangabaú, 350 - Centro Histórico de São Paulo",2026-05-24,14:00,16:30,Marina Sena,,2026-05-24T14:00:00,2026-05-24T16:30:00
palco-anhangabau-2026-05-24-16-30-seu-jorge,Palcos e Pistas,Centro,Centro,Palco Anhangabaú,"Pq Anhangabaú, 350 - Centro Histórico de São Paulo",2026-05-24,16:30,18:30,Seu Jorge,,2026-05-24T16:30:00,2026-05-24T18:30:00
